,hash_id,Vlak,Vecerka,Obchod,Bus,Skola,Skolka,Lekar,Hospoda,Restaurace,Metro,Tram,date_update,building_type,building_condition,building_location,area_net,price_note,energy_efficient_rating,building_floor_type,building_floor,garage,swimming_pool,area_landplot,cellar,house_location,price,lat,lon,locality,region,lat_cen,lon_cen,city_dist
1,3981059148,3213.0,719.0,1989.0,60.0,714.0,411.0,2121.0,1667.0,305.0,2071.0,1424.0,Dnes,Smíšená,Novostavba,,161.0,včetně DPH,B,Patrový,,,,318.0,,Řadový,14595304,50.147034,14.473924,"U spojů, Praha 8 - Ďáblice",10,50.0875,14.4213889,7.606151604712511
2,2171561036,1441.0,989.0,2088.0,90.0,756.0,1041.0,1208.0,2146.0,127.0,1209.0,1154.0,Dnes,Smíšená,Projekt,,226.0,"včetně DPH, včetně provize, včetně právního servisu",B,Patrový,,,,856.0,,Samostatný,54980000,50.107578,14.352712,"V Trníčku, Praha 6 - Dejvice",10,50.0875,14.4213889,5.383456143053492
4,1286899020,464.0,104.0,2550.0,54.0,279.0,476.0,3115.0,293.0,145.0,2580.0,2770.0,Dnes,Cihlová,Novostavba,,208.0,vč. právního servisu,B,Patrový,3,1,,354.0,,,23400000,50.138809,14.546665,Praha 9 - Kbely,10,50.0875,14.4213889,10.599461372810216
5,1704076364,2161.0,263.0,1956.0,158.0,293.0,314.0,490.0,520.0,163.0,355.0,146.0,Dnes,Cihlová,Po rekonstrukci,Klidná část obce,203.0,Cena je včetně provize RK a kompletního právního servisu.,G,Patrový,5 včetně 1 podzemního,,,128.0,,Řadový,16990000,50.127625,14.454474,"Přemyšlenská, Praha 8 - Kobylisy",10,50.0875,14.4213889,5.047153103254849
6,212989260,1155.0,1340.0,1159.0,156.0,1475.0,882.0,2028.0,1692.0,373.0,4386.0,3146.0,Dnes,Cihlová,Velmi dobrý,,109.0,včetně provize,,Patrový,,,,500.0,,,12950000,50.050537,14.581465,"K Průmstavu, Praha 10 - Dubeč",10,50.0875,14.4213889,12.141769667072495
8,3075208524,4813.0,565.0,924.0,551.0,759.0,317.0,2069.0,563.0,575.0,4129.0,1928.0,Dnes,Cihlová,Velmi dobrý,Klidná část obce,177.0,uvedená cena je vč. garážového stání a provize RK,B,Patrový,2,1,,289.0,,Řadový,18500000,49.995075,14.47234,"Ke kašně, Praha 4 - Písnice",10,50.0875,14.4213889,10.902291436049323
9,2122360140,1539.0,270.0,0.0,319.0,774.0,411.0,1871.0,301.0,489.0,0.0,0.0,Dnes,Cihlová,Novostavba,,157.0,,B,Patrový,,,,439.0,,Samostatný,15450000,50.07568,14.659288,Praha 9 - Újezd nad Lesy,10,50.0875,14.4213889,17.02569700956544
10,2273699148,1415.0,560.0,4693.0,318.0,870.0,319.0,767.0,434.0,310.0,0.0,3988.0,Dnes,Cihlová,Velmi dobrý,,232.0,,G,Patrový,,1,,932.0,,Samostatný,19500000,49.975197,14.393192,Praha 5 - Zbraslav,10,50.0875,14.4213889,12.648899040856321
11,377333068,1019.0,564.0,1416.0,503.0,784.0,638.0,1573.0,602.0,390.0,2974.0,1127.0,Dnes,Cihlová,Novostavba,,207.0,,G,Patrový,,1,,361.0,,Řadový,43000000,50.052277,14.55332,"U Golfu, Praha 10 - Dolní Měcholupy",10,50.0875,14.4213889,10.198106124909813
12,3337598284,451.0,562.0,1509.0,250.0,745.0,490.0,987.0,1248.0,876.0,560.0,1219.0,Dnes,Smíšená,Ve výstavbě,,194.0,"Cena včetně DPH, parkovacího stání a sklepu., včetně DPH, včetně provize, včetně právního servisu",B,Patrový,,,,205.0,,Řadový,26095000,50.06168,14.368812,"Na pomezí, Praha 5",10,50.0875,14.4213889,4.7245202015253485
